filename,width,height,class,xmin,ymin,xmax,ymax
BikesHelmets368_png.rf.e70d4c03c9687e0cb97ff3944724939d.jpg,468,280,With Helmet,231,6,283,64
BikesHelmets366_png.rf.e979c93fa2952678a43332bc4a75aa08.jpg,400,225,Without Helmet,311,20,332,51
BikesHelmets120_png.rf.e64f958f2643cc70560b3e4236f874c9.jpg,586,331,With Helmet,247,0,307,63
BikesHelmets235_png.rf.e655d034e2873b0c847eddd7adf8a7bb.jpg,400,266,With Helmet,138,123,159,140
BikesHelmets235_png.rf.e655d034e2873b0c847eddd7adf8a7bb.jpg,400,266,With Helmet,290,118,303,130
BikesHelmets501_png.rf.e63a7159736e167257fb0c0e00ecf9e7.jpg,400,269,With Helmet,192,35,233,88
BikesHelmets648_png.rf.e833782c685f16f1d6a716e0a7749b5f.jpg,400,267,With Helmet,192,62,240,109
BikesHelmets648_png.rf.e833782c685f16f1d6a716e0a7749b5f.jpg,400,267,With Helmet,99,45,151,98
BikesHelmets37_png.rf.e7451b6d83cb77d6c7e232a19f1bf472.jpg,400,285,With Helmet,196,58,245,108
BikesHelmets37_png.rf.e7451b6d83cb77d6c7e232a19f1bf472.jpg,400,285,With Helmet,288,57,322,99
BikesHelmets37_png.rf.e7451b6d83cb77d6c7e232a19f1bf472.jpg,400,285,With Helmet,7,75,66,146
BikesHelmets37_png.rf.e7451b6d83cb77d6c7e232a19f1bf472.jpg,400,285,With Helmet,57,54,87,88
BikesHelmets214_png.rf.ea2bff049f78cb9a37a12c62d5c2b3a5.jpg,400,300,With Helmet,153,99,186,140
BikesHelmets463_png.rf.ea2246fe2b8f9a1a9657101088141506.jpg,350,233,With Helmet,256,22,296,69
BikesHelmets463_png.rf.ea2246fe2b8f9a1a9657101088141506.jpg,350,233,With Helmet,149,14,192,56
BikesHelmets463_png.rf.ea2246fe2b8f9a1a9657101088141506.jpg,350,233,With Helmet,67,24,121,70
BikesHelmets355_png.rf.e753cd6a71d5f56826603171651f2a8f.jpg,400,300,With Helmet,130,14,284,167
BikesHelmets60_png.rf.e8c9d420b3fa91f4cc16e95182094505.jpg,400,300,With Helmet,154,0,217,60
BikesHelmets28_png.rf.ea186a8f5b84cd60e415c84aebe04555.jpg,450,273,With Helmet,113,0,158,55
BikesHelmets44_png.rf.e70fc5a9ebfc494d819d4f11e62deaa7.jpg,400,316,With Helmet,114,3,172,67
BikesHelmets44_png.rf.e70fc5a9ebfc494d819d4f11e62deaa7.jpg,400,316,With Helmet,48,11,90,59
BikesHelmets232_png.rf.e9199f7218b8d800d64c940907cf4c2f.jpg,400,400,Without Helmet,196,1,271,91

BikesHelmets27_png.rf.ea096e4d2fa7b983d411d232cbc80f43.jpg,576,432,With Helmet,178,13,264,91
BikesHelmets111_png.rf.e637da12724ac26fd1cf5c2c50234fc5.jpg,400,267,Without Helmet,147,42,182,83
BikesHelmets755_png.rf.e8e04a1496fe8ca8d2f1800748b6a35e.jpg,225,149,With Helmet,138,1,179,52
BikesHelmets4_png.rf.e9d613a0e04b0f66c5935d1827a0dc30.jpg,400,258,With Helmet,179,42,232,87
BikesHelmets219_png.rf.e9a413487e56311479c6960be054be5b.jpg,494,345,With Helmet,204,24,265,81
BikesHelmets219_png.rf.e9a413487e56311479c6960be054be5b.jpg,494,345,With Helmet,59,45,108,92
BikesHelmets219_png.rf.e9a413487e56311479c6960be054be5b.jpg,494,345,With Helmet,418,9,481,83
BikesHelmets195_png.rf.e758256a5251bc1f1c9711fdd56feb02.jpg,400,267,With Helmet,265,29,299,71
BikesHelmets195_png.rf.e758256a5251bc1f1c9711fdd56feb02.jpg,400,267,With Helmet,171,35,206,79
BikesHelmets195_png.rf.e758256a5251bc1f1c9711fdd56feb02.jpg,400,267,With Helmet,347,1,389,47
BikesHelmets219_png.rf.e59e2b744906064101ed84d50ef4fb71.jpg,494,345,With Helmet,204,24,265,81
BikesHelmets219_png.rf.e59e2b744906064101ed84d50ef4fb71.jpg,494,345,With Helmet,59,45,108,92
BikesHelmets219_png.rf.e59e2b744906064101ed84d50ef4fb71.jpg,494,345,With Helmet,418,9,481,83
BikesHelmets176_png.rf.e5754353dd72a418ca9e45f46a3bc30a.jpg,400,274,Without Helmet,113,37,146,77
BikesHelmets176_png.rf.e5754353dd72a418ca9e45f46a3bc30a.jpg,400,274,Without Helmet,253,66,272,84
BikesHelmets30_png.rf.e6a46c50400122e924da9d99f3cb61ec.jpg,267,400,With Helmet,93,61,151,129
BikesHelmets30_png.rf.e6a46c50400122e924da9d99f3cb61ec.jpg,267,400,With Helmet,23,158,69,209
BikesHelmets30_png.rf.e6a46c50400122e924da9d99f3cb61ec.jpg,267,400,With Helmet,131,100,179,155
BikesHelmets507_png.rf.e7a32932b5d17c3aff5405503ff7b436.jpg,400,267,Without Helmet,118,33,157,80
BikesHelmets507_png.rf.e7a32932b5d17c3aff5405503ff7b436.jpg,400,267,With Helmet,219,109,262,160
BikesHelmets507_png.rf.e7a32932b5d17c3aff5405503ff7b436.jpg,400,267,Without Helmet,262,64,290,107
BikesHelmets211_png.rf.eb1dac53281cf90133f13971c5dd35b7.jpg,400,267,With Helmet,158,18,214,79
BikesHelmets379_png.rf.eb8d2f281f82e2f3295bbd2b61996c2c.jpg,400,228,Without Helmet,149,0,187,45
BikesHelmets148_png.rf.ea4f9039d428085e91920f8ea0aeecf0.jpg,389,400,With Helmet,150,10,213,89
BikesHelmets148_png.rf.ea4f9039d428085e91920f8ea0aeecf0.jpg,389,400,With Helmet,294,82,342,135
BikesHelmets386_png.rf.eb6025c2c76c7231d14a6502395fb0e0.jpg,400,244,With Helmet,209,37,247,85
BikesHelmets386_png.rf.eb6025c2c76c7231d14a6502395fb0e0.jpg,400,244,With Helmet,309,23,342,64
BikesHelmets386_png.rf.eb6025c2c76c7231d14a6502395fb0e0.jpg,400,244,With Helmet,125,42,157,81
BikesHelmets102_png.rf.ecf5e3e3fff4d53cac64bcce96685418.jpg,389,400,With Helmet,238,22,292,82
BikesHelmets722_png.rf.ebc47a7117df718bd0d14aefe236a487.jpg,236,354,With Helmet,125,1,175,62
BikesHelmets506_png.rf.ed3fe76173582e90c4394bfed63fca21.jpg,500,428,With Helmet,196,10,300,123
BikesHelmets174_png.rf.eeb5a7f8d244e5c6e9b27a24c58ec113.jpg,400,280,With Helmet,169,13,198,49
BikesHelmets174_png.rf.eeb5a7f8d244e5c6e9b27a24c58ec113.jpg,400,280,With Helmet,248,8,289,51
BikesHelmets515_png.rf.eee1bec4f9d549e4d5729d86305d0ddc.jpg,400,267,With Helmet,234,26,264,61
BikesHelmets515_png.rf.eee1bec4f9d549e4d5729d86305d0ddc.jpg,400,267,With Helmet,76,48,110,88
BikesHelmets515_png.rf.eee1bec4f9d549e4d5729d86305d0ddc.jpg,400,267,With Helmet,121,4,158,38
BikesHelmets515_png.rf.eee1bec4f9d549e4d5729d86305d0ddc.jpg,400,267,With Helmet,281,66,313,103
BikesHelmets416_png.rf.ef4581742590502563c78936098f104c.jpg,305,400,With Helmet,197,33,253,109
BikesHelmets416_png.rf.ef4581742590502563c78936098f104c.jpg,305,400,With Helmet,101,4,169,81
BikesHelmets31_png.rf.ee1a44ee7cb2856eb1c9a2bda46cae65.jpg,600,452,Without Helmet,311,247,344,283
BikesHelmets565_png.rf.ec0639f92b1648f366e708473f83864c.jpg,400,267,With Helmet,249,15,300,68
BikesHelmets565_png.rf.ec0639f92b1648f366e708473f83864c.jpg,400,267,With Helmet,108,0,176,56
BikesHelmets237_png.rf.ef52e26bb221494f80d0670ca9f19dd6.jpg,400,267,With Helmet,164,16,219,70
BikesHelmets532_png.rf.efcb0b473028160edae90d792379980d.jpg,400,600,With Helmet,175,4,325,194
BikesHelmets283_png.rf.ef7fb46c940ee73e2be3419167ea6089.jpg,400,225,Without Helmet,249,77,279,117
BikesHelmets623_png.rf.efda7fefbb7d54f7a17318183041199d.jpg,400,267,With Helmet,190,37,247,107
BikesHelmets759_png.rf.efee1ccbe0894ec80d189766aeab10c6.jpg,400,267,With Helmet,147,98,171,122
BikesHelmets759_png.rf.efee1ccbe0894ec80d189766aeab10c6.jpg,400,267,Without Helmet,229,102,246,123
BikesHelmets759_png.rf.efee1ccbe0894ec80d189766aeab10c6.jpg,400,267,Without Helmet,63,101,87,124
BikesHelmets759_png.rf.efee1ccbe0894ec80d189766aeab10c6.jpg,400,267,Without Helmet,286,96,303,115
BikesHelmets112_png.rf.effec69ac7c08d537f713da00008665e.jpg,400,228,Without Helmet,230,18,296,89
BikesHelmets112_png.rf.effec69ac7c08d537f713da00008665e.jpg,400,228,Without Helmet,106,20,163,86
BikesHelmets456_png.rf.f004e0a2fe540aa4da3b5158c70d7e22.jpg,268,400,With Helmet,154,28,205,93
BikesHelmets139_png.rf.efe0e47af49d2f7ddaef4a8b63ce7083.jpg,400,200,With Helmet,230,23,272,66
BikesHelmets513_png.rf.f04d96fc8b33986d2e8807390b492ea7.jpg,494,520,Without Helmet,234,21,346,160
BikesHelmets648_png.rf.eff47c79e928defccee4ead95a7760be.jpg,400,267,With Helmet,192,62,240,109
BikesHelmets648_png.rf.eff47c79e928defccee4ead95a7760be.jpg,400,267,With Helmet,99,45,151,98
BikesHelmets563_png.rf.f094e8e4ca0cb52b919d1bf4b07de65d.jpg,400,250,With Helmet,85,14,117,56
BikesHelmets563_png.rf.f094e8e4ca0cb52b919d1bf4b07de65d.jpg,400,250,Without Helmet,277,9,314,46
BikesHelmets288_png.rf.f1d9a924b726dae539275dec933b0209.jpg,400,247,With Helmet,276,2,322,49
BikesHelmets102_png.rf.f1fcf568b9f9b7042c8060ec89fc0324.jpg,389,400,With Helmet,238,22,292,82
BikesHelmets16_png.rf.f205cb460bd25210fcfef40b5d27828e.jpg,400,267,With Helmet,259,1,326,80
BikesHelmets16_png.rf.f205cb460bd25210fcfef40b5d27828e.jpg,400,267,With Helmet,150,31,195,93
BikesHelmets16_png.rf.f205cb460bd25210fcfef40b5d27828e.jpg,400,267,With Helmet,45,37,95,99
BikesHelmets16_png.rf.f205cb460bd25210fcfef40b5d27828e.jpg,400,267,With Helmet,91,21,122,63
BikesHelmets426_png.rf.f1000ab5a0f882c617253d979c2c0fe5.jpg,586,331,With Helmet,190,10,260,89
BikesHelmets285_png.rf.f1bbe2973aa736695f04beb145beafd4.jpg,309,450,With Helmet,71,119,185,233
BikesHelmets670_png.rf.f21b37ea7c5c9011b21ec8f4fee721f6.jpg,400,283,Without Helmet,126,10,160,48
BikesHelmets381_png.rf.f216a2386383b603fce49af137669de3.jpg,400,268,With Helmet,177,43,229,117
BikesHelmets381_png.rf.f216a2386383b603fce49af137669de3.jpg,400,268,With Helmet,109,66,145,108
BikesHelmets726_png.rf.f2d67f30a1853d5c934413e33373af35.jpg,586,331,With Helmet,192,15,256,79
BikesHelmets573_png.rf.f26f7ce8e33aab0605593b25cd348fb6.jpg,499,333,With Helmet,82,71,151,138
BikesHelmets573_png.rf.f26f7ce8e33aab0605593b25cd348fb6.jpg,499,333,With Helmet,252,120,312,193
BikesHelmets573_png.rf.f26f7ce8e33aab0605593b25cd348fb6.jpg,499,333,With Helmet,389,34,446,101
BikesHelmets486_png.rf.f2ed4f8195e074760514b95d7f30a8e6.jpg,400,259,With Helmet,191,35,236,84
BikesHelmets486_png.rf.f2ed4f8195e074760514b95d7f30a8e6.jpg,400,259,With Helmet,78,15,123,61
BikesHelmets486_png.rf.f2ed4f8195e074760514b95d7f30a8e6.jpg,400,259,With Helmet,297,15,339,63
BikesHelmets218_png.rf.f2dc6ffb94b9402c7a973fa4ed98ed41.jpg,400,400,With Helmet,111,39,191,124
BikesHelmets444_png.rf.f3031b68d2109f68acf3ac07d8f43b17.jpg,200,159,Without Helmet,26,0,55,28
BikesHelmets444_png.rf.f3031b68d2109f68acf3ac07d8f43b17.jpg,200,159,Without Helmet,85,4,113,32
BikesHelmets353_png.rf.f3167daa55ad686c1cca06e7ebd3e6ad.jpg,400,250,Without Helmet,176,71,194,98
BikesHelmets353_png.rf.f3167daa55ad686c1cca06e7ebd3e6ad.jpg,400,250,Without Helmet,30,80,53,103
BikesHelmets353_png.rf.f3167daa55ad686c1cca06e7ebd3e6ad.jpg,400,250,Without Helmet,337,64,362,92
BikesHelmets353_png.rf.f3167daa55ad686c1cca06e7ebd3e6ad.jpg,400,250,Without Helmet,231,73,255,98
BikesHelmets353_png.rf.f3167daa55ad686c1cca06e7ebd3e6ad.jpg,400,250,Without Helmet,269,75,286,93
BikesHelmets353_png.rf.f3167daa55ad686c1cca06e7ebd3e6ad.jpg,400,250,Without Helmet,112,77,133,103
BikesHelmets353_png.rf.f3167daa55ad686c1cca06e7ebd3e6ad.jpg,400,250,Without Helmet,296,73,310,92
BikesHelmets353_png.rf.f3167daa55ad686c1cca06e7ebd3e6ad.jpg,400,250,Without Helmet,201,77,215,95
BikesHelmets353_png.rf.f3167daa55ad686c1cca06e7ebd3e6ad.jpg,400,250,Without Helmet,135,73,152,95
BikesHelmets323_png.rf.f3f0c7cd97008333266627a7e48ca149.jpg,400,300,With Helmet,180,71,241,144
BikesHelmets160_png.rf.f375fd6af8bbe3efd017de9ad1ca0cc9.jpg,400,267,Without Helmet,146,105,164,126
BikesHelmets160_png.rf.f375fd6af8bbe3efd017de9ad1ca0cc9.jpg,400,267,Without Helmet,253,95,270,112
BikesHelmets555_png.rf.f3361b03fb54a59c7256798a4230c37b.jpg,400,267,With Helmet,238,89,267,121
BikesHelmets555_png.rf.f3361b03fb54a59c7256798a4230c37b.jpg,400,267,With Helmet,128,82,153,116
BikesHelmets555_png.rf.f3361b03fb54a59c7256798a4230c37b.jpg,400,267,With Helmet,325,103,346,129
BikesHelmets555_png.rf.f3361b03fb54a59c7256798a4230c37b.jpg,400,267,With Helmet,277,84,300,108
BikesHelmets555_png.rf.f3361b03fb54a59c7256798a4230c37b.jpg,400,267,With Helmet,84,101,106,122
BikesHelmets555_png.rf.f3361b03fb54a59c7256798a4230c37b.jpg,400,267,With Helmet,187,85,203,111
BikesHelmets532_png.rf.f41f457a626518d41647ae7dc27dc0ec.jpg,400,600,With Helmet,175,4,325,194
BikesHelmets213_png.rf.f42671c1d97336a4ad09571354969830.jpg,400,301,With Helmet,277,52,322,98
BikesHelmets213_png.rf.f42671c1d97336a4ad09571354969830.jpg,400,301,With Helmet,144,41,183,87
BikesHelmets640_png.rf.f3afff429ca14df48bc385314e950216.jpg,600,403,Without Helmet,277,264,310,300
BikesHelmets640_png.rf.f3afff429ca14df48bc385314e950216.jpg,600,403,Without Helmet,120,251,150,282
BikesHelmets640_png.rf.f3afff429ca14df48bc385314e950216.jpg,600,403,With Helmet,403,132,423,152
BikesHelmets707_png.rf.f438cea9d85abdafa26e98f083439b7b.jpg,470,350,Without Helmet,201,42,234,85

BikesHelmets680_png.rf.f50262f8a7444549face578bb2542ba6.jpg,320,450,With Helmet,166,0,225,56
BikesHelmets144_png.rf.f510c68870727559089ffa43ffa1a915.jpg,521,370,Without Helmet,133,62,177,110
BikesHelmets146_png.rf.f4eba58ad7eef1061e9257bc73a88826.jpg,600,450,With Helmet,451,87,554,206
BikesHelmets146_png.rf.f4eba58ad7eef1061e9257bc73a88826.jpg,600,450,With Helmet,308,91,401,201
BikesHelmets146_png.rf.f4eba58ad7eef1061e9257bc73a88826.jpg,600,450,With Helmet,179,110,246,186
BikesHelmets146_png.rf.f4eba58ad7eef1061e9257bc73a88826.jpg,600,450,With Helmet,50,107,158,219
BikesHelmets591_png.rf.f5197235793d54b9cd8d40c8ad2182c3.jpg,300,400,With Helmet,118,64,215,195
BikesHelmets444_png.rf.f5726022291b552ffca2786fa163fc94.jpg,200,159,Without Helmet,26,0,55,28
BikesHelmets444_png.rf.f5726022291b552ffca2786fa163fc94.jpg,200,159,Without Helmet,85,4,113,32
BikesHelmets236_png.rf.f5fbf36f2361f0945a8046274aa24669.jpg,400,251,With Helmet,42,4,122,105

BikesHelmets646_png.rf.f6940440d7ea414e3d91b2ea16011ead.jpg,400,242,With Helmet,207,0,250,30
BikesHelmets364_png.rf.f61e607d173ea0fedb750f1c10b77a61.jpg,400,273,With Helmet,211,49,249,86
BikesHelmets668_png.rf.f7059b297c5080475ec172710988710a.jpg,400,226,Without Helmet,94,19,124,50
BikesHelmets668_png.rf.f7059b297c5080475ec172710988710a.jpg,400,226,Without Helmet,230,20,255,48
